Lexis Visum AI Processing Module,Edu,3,85,288.25,https://lexisvisum.com/images/product_26.jpg
Lexis Visum Study Smart Glasses,Edu,1,73,418.3,https://lexisvisum.com/images/product_27.jpg
Lexis Visum Pro Smart Glasses,Essential,1,210,642.55,https://lexisvisum.com/images/product_28.jpg
Lexis Visum Pocket Processor,Essential,3,171,194.41,https://lexisvisum.com/images/product_29.jpg
Lexis Visum Portable Compute Hub,Kids,3,188,199.52,https://lexisvisum.com/images/product_30.jpg
Lexis Visum AI Processing Module,Essential,3,110,344.94,https://lexisvisum.com/images/product_31.jpg
Lexis Visum Carry Case,Essential,2,162,38.71,https://lexisvisum.com/images/product_32.jpg
Lexis Visum Essential Smart Glasses,Essential,1,224,723.12,https://lexisvisum.com/images/product_33.jpg
Lexis Visum Classroom Vision Glasses,Essential,1,49,885.04,https://lexisvisum.com/images/product_34.jpg
Lexis Visum Extra Battery,Essential,2,203,35.53,https://lexisvisum.com/images/product_35.jpg
Lexis Visum Magnetic Charger,Essential,2,192,44.99,https://lexisvisum.com/images/product_36.jpg
Lexis Visum Edu Smart Glasses,Essential,1,83,895.9,https://lexisvisum.com/images/product_37.jpg
Lexis Visum Edu Smart Glasses,Kids,1,40,709.68,https://lexisvisum.com/images/product_38.jpg
Lexis Visum Focus Reading Glasses,Essential,1,151,815.73,https://lexisvisum.com/images/product_39.jpg
Lexis Visum Essential Smart Glasses,Pro,1,31,535.86,https://lexisvisum.com/images/product_40.jpg
Lexis Visum Study Smart Glasses,Essential,1,170,845.12,https://lexisvisum.com/images/product_41.jpg
Lexis Visum Essential Smart Glasses,Pro,1,166,863.03,https://lexisvisum.com/images/product_42.jpg
Lexis Visum Magnetic Charger,Kids,2,56,90.79,https://lexisvisum.com/images/product_43.jpg
Lexis Visum AI Processing Module,Kids,3,244,331.72,https://lexisvisum.com/images/product_44.jpg
Lexis Visum Mobile Reader Unit,Edu,3,49,361.61,https://lexisvisum.com/images/product_45.jpg
Lexis Visum Pocket Processor,Edu,3,104,171.44,https://lexisvisum.com/images/product_46.jpg
Lexis Visum Pro Smart Glasses,Pro,1,177,707.03,https://lexisvisum.com/images/product_47.jpg
Lexis Visum Lens Cleaning Kit,Edu,2,246,103.16,https://lexisvisum.com/images/product_48.jpg
Lexis Visum Protective Case,Pro,2,13,91.9,https://lexisvisum.com/images/product_49.jpg
Lexis Visum Charging Dock,Pro,2,119,90.3,https://lexisvisum.com/images/product_50.jpg
