Executive Care Basic,89.99,30,Garantia extendida basica y soporte por correo
Executive Care Plus,149.99,30,Reparaciones menores y soporte prioritario
Executive Secure,199.99,30,Proteccion contra fallos tecnicos y reemplazo parcial
Executive Assist,249.99,30,Diagnostico remoto y mantenimiento preventivo
Executive Priority,299.99,180,Atencion prioritaria 24/7 y soporte especializado
Executive Protect,1299.99,180,Cobertura por da¤os accidentales limitados
Executive Advanced Care,1799.99,365,"Limpieza, calibracion y revision anual incluida"
Executive Elite Support,2999.99,365,Reemplazo rapido de componentes y soporte premium
Executive Business Care,5999.99,365,Gestion multiusuario y soporte para empresas
Executive Infinite Care,9999.99,365,"Cobertura total, reemplazo prioritario y asistencia dedicada"
